start_indices,desitnation_indices,start_loc,end_loc,cost,truth
"(164, 381)","(417, 537)","56.63333333333333,-2.825","54.525,-1.5250000000000004",347.04052734375,271.81666666666666
"(417, 537)","(288, 223)","54.525,-1.5250000000000004","55.6,-4.141666666666667",272.15087890625,185.33333333333334
"(288, 223)","(185, 262)","55.6,-4.141666666666667","56.458333333333336,-3.816666666666667",104.9146957397461,99.75
"(185, 262)","(336, 241)","56.458333333333336,-3.816666666666667","55.2,-3.9916666666666667",169.87643432617188,153.73333333333332
"(336, 241)","(440, 48)","55.2,-3.9916666666666667","54.333333333333336,-5.6",inf,294.78333333333336
"(440, 48)","(275, 200)","54.333333333333336,-5.6","55.708333333333336,-4.333333333333333",inf,318.95
"(275, 200)","(438, 192)","55.708333333333336,-4.333333333333333","54.35,-4.4",inf,455.43333333333334
"(438, 192)","(112, 429)","54.35,-4.4","57.06666666666667,-2.4250000000000003",inf,572.6333333333333
"(112, 429)","(473, 496)","57.06666666666667,-2.4250000000000003","54.05833333333334,-1.8666666666666671",469.848876953125,372.6166666666667
"(473, 496)","(256, 422)","54.05833333333334,-1.8666666666666671","55.86666666666667,-2.4833333333333334",253.23240661621094,226.33333333333334
"(256, 422)","(157, 207)","55.86666666666667,-2.4833333333333334","56.69166666666667,-4.275",247.88844299316406,179.53333333333333
"(157, 207)","(169, 417)","56.69166666666667,-4.275","56.59166666666667,-2.525",212.8076629638672,137.13333333333333
"(169, 417)","(324, 404)","56.59166666666667,-2.525","55.3,-2.6333333333333333",249.06248474121094,211.31666666666666
"(324, 404)","(148, 329)","55.3,-2.6333333333333333","56.766666666666666,-3.2583333333333333",218.31402587890625,219.68333333333334
"(148, 329)","(429, 615)","56.766666666666666,-3.2583333333333333","54.425,-0.875",403.4964599609375,327.81666666666666
"(429, 615)","(165, 336)","54.425,-0.875","56.625,-3.2",383.6252136230469,300.01666666666665
"(165, 336)","(98, 373)","56.625,-3.2","57.18333333333333,-2.8916666666666666",115.83554077148438,106.66666666666667
"(98, 373)","(267, 60)","57.18333333333333,-2.8916666666666666","55.775,-5.5",389.930908203125,307.1666666666667
"(267, 60)","(314, 467)","55.775,-5.5","55.38333333333333,-2.1083333333333334",389.08941650390625,319.1666666666667
"(314, 467)","(369, 477)","55.38333333333333,-2.1083333333333334","54.925,-2.025",62.243648529052734,78.9
"(369, 477)","(318, 370)","54.925,-2.025","55.35,-2.9166666666666665",119.72986602783203,94.43333333333334
"(318, 370)","(390, 525)","55.35,-2.9166666666666665","54.75,-1.625",162.4936065673828,126.16666666666667
"(390, 525)","(240, 278)","54.75,-1.625","56.0,-3.6833333333333336",245.55133056640625,187.75
"(240, 278)","(82, 322)","56.0,-3.6833333333333336","57.31666666666667,-3.316666666666667",200.08135986328125,183.96666666666667
"(82, 322)","(422, 497)","57.31666666666667,-3.316666666666667","54.483333333333334,-1.8583333333333334",420.9576721191406,345.01666666666665
"(422, 497)","(60, 456)","54.483333333333334,-1.8583333333333334","57.5,-2.2",475.75836181640625,341.73333333333335
"(60, 456)","(457, 471)","57.5,-2.2","54.19166666666667,-2.075",498.2174377441406,373.95
