geometry,class,subtype
"((-45.5646519, -22.7162017), (-45.5647088, -22.7162272))",tertiary,road
"((-80.6949473, -0.9851342), (-80.6948083, -0.9850763))",service,road
"((-46.490643, -23.4216856), (-46.4907543, -23.4213459))",tertiary,road
"((-56.3680682, -15.0286418), (-56.3683471, -15.029441))",unclassified,road
"((-51.425048, -22.0546225), (-51.425062, -22.0545721))",unclassified,road
"((-52.6200171, -18.7853007), (-52.6199113, -18.785201))",tertiary,road
"((-78.262647, -2.7565618), (-78.2624714, -2.7563186))",primary,road
"((-53.336767, -23.7276669), (-53.3374463, -23.7267758))",secondary,road
"((-56.3703963, -15.1894413), (-56.3701261, -15.1893369))",unclassified,road
"((-79.7826921, -2.1982349), (-79.783031, -2.198144))",service,road
"((-52.5333287, -23.9638278), (-52.532976, -23.964106))",unclassified,road
"((-46.9596978, -23.0920449), (-46.9597587, -23.0918431))",service,road
"((-48.9817382, -27.0961157), (-48.9820711, -27.0959118))",tertiary,road
"((-76.8826069, -11.9674533), (-76.8826085, -11.9680594))",service,road
"((-47.7171931, -22.6815232), (-47.7164327, -22.681298))",tertiary,road
"((-54.1665745, -22.2721377), (-54.1669278, -22.2729754))",secondary,road
"((-51.3164145, -21.2114571), (-51.3164599, -21.2115884))",unclassified,road
"((-50.4613665, -21.9523736), (-50.4613576, -21.9519463))",unclassified,road
"((-46.0113148, -22.7709076), (-46.011913, -22.7707604))",tertiary,road
"((-47.8356991, -23.0416639), (-47.8357542, -23.0416595))",tertiary,road
"((-53.0550333, -18.2033648), (-53.0473378, -18.2020884))",unclassified,road
"((-80.7533614, -4.9099009), (-80.7539456, -4.9101204))",primary,road
"((-58.1779716, -15.6269541), (-58.1777764, -15.6277977))",tertiary,road
"((-61.0349952, -12.5962609), (-61.0350528, -12.5958721))",unclassified,road
"((-63.7407359, -21.6501365), (-63.740786, -21.6499679))",unclassified,road
"((-49.1567956, -22.8659309), (-49.1568849, -22.8658012))",motorway,road
"((-46.8860573, -23.4067754), (-46.8860079, -23.4063834))",unclassified,road
"((-48.6795079, -27.9606173), (-48.6794527, -27.9606649))",tertiary,road
"((-52.587901, -24.0005403), (-52.5880601, -24.0009461))",unclassified,road
"((-77.3565857, -8.1373799), (-77.3570712, -8.1374622))",service,road
"((-46.5414638, -23.5748725), (-46.5414366, -23.5747698))",primary,road
"((-77.0547015, -11.9513606), (-77.0546112, -11.9513974))",primary,road
"((-45.1680169, -22.8193576), (-45.167907, -22.8193129))",service,road
